ISO,Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After
BOL,Bolivia,"Inflation, average consumer prices",Index,,--,--,0.001,0.003,0.04,4.714,17.599,20.165,23.392,26.941,31.553,38.32,43.285,46.976,50.675,55.84,62.78,65.737,70.781,72.311,75.638,76.845,77.554,80.143,83.699,88.216,90.278,98.136,111.883,115.628,118.52,130.233,136.116,142.41,148.506,154.486,160.716,167.197,173.94,2012
BOL,Bolivia,"Inflation, average consumer prices",Percent change,,47.059,32.134,123.555,275.579,1281.35,11749.63,273.35,14.579,16.002,15.174,17.12,21.444,12.958,8.526,7.875,10.192,12.43,4.709,7.674,2.161,4.601,1.596,0.923,3.338,4.437,5.398,2.337,8.704,14.009,3.346,2.502,9.883,4.517,4.625,4.28,4.027,4.033,4.033,4.033,2012
BOL,Bolivia,"Inflation, end of period consumer prices",Index,,--,--,0.001,0.006,0.139,11.472,18.888,20.902,25.397,29.603,34.935,40.328,44.546,48.693,52.843,59.487,64.216,68.538,71.55,73.792,76.31,77.015,78.9,82.008,85.797,90.009,92.7,103.57,115.84,116.15,124.49,133.08,139.111,145.255,151.294,157.301,163.644,170.243,177.109,2012
BOL,Bolivia,"Inflation, end of period consumer prices",Percent change,,23.93,25.127,296.791,328.437,2177.3,8170.53,64.647,10.662,21.505,16.563,18.01,15.436,10.462,9.308,8.523,12.574,7.949,6.731,4.395,3.133,3.412,0.924,2.448,3.939,4.621,4.908,2.99,11.726,11.847,0.268,7.18,6.9,4.532,4.417,4.157,3.97,4.033,4.033,4.033,2012
BOL,Bolivia,Six-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Volume of imports of goods and services,Percent change,,-29.331,8.216,-25.206,-13.157,24.238,20.773,8.944,7.734,-0.176,0.322,10.243,12.589,9.924,-0.728,-0.645,8.92,7.94,13.539,0,-10.65,6.143,-7.085,10.405,-0.638,9.591,9.217,13.969,17.887,24.724,-7.824,11.133,29.031,4.333,16.114,13.056,10.478,6.326,3.527,3.216,2012
BOL,Bolivia,Volume of Imports of goods,Percent change,,-34.759,8.216,-25.206,-13.157,24.238,20.773,8.944,7.734,-0.176,0.322,10.243,12.589,9.924,-0.728,-0.645,8.92,7.94,13.539,0,-10.65,6.143,-7.085,10.405,-0.638,9.591,9.217,13.969,17.887,24.724,-7.824,11.133,29.031,4.333,16.114,13.056,10.478,6.326,3.527,3.216,2012
BOL,Bolivia,Volume of exports of goods and services,Percent change,,-8.995,1.293,-13.122,1.904,-6.066,-18.742,19.132,1.105,6.709,24.61,11.068,7.294,1.113,5.305,15.097,9.118,4.069,-2.11,0,0.323,4.919,2.531,5.239,11.68,9.832,1.352,3.06,0.017,17.417,4.327,3.071,2.369,21.8,9.409,9.164,7.528,5.564,3.436,2.987,2012
BOL,Bolivia,Volume of exports of goods,Percent change,,-4.809,-4.311,-4.667,-7.62,-0.791,-7.568,11.94,-6.61,-0.837,39.899,18.698,-0.417,-7.816,15.901,28.712,10.779,6.4,2,0,0.323,4.919,2.531,5.239,11.68,9.832,1.352,3.06,0.017,17.417,4.327,3.071,2.369,21.8,9.409,9.164,7.528,5.564,3.436,2.987,2012
BOL,Bolivia,Value of oil imports,U.S. dollars,Billions,0.002,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.067,0.053,0.139,0.101,0.074,0.12,0.106,0.081,0.115,0.122,0.235,0.268,0.27,0.555,0.468,0.615,1.025,1.088,1.12,1.117,1.12,1.145,1.194,1.24,2012
BOL,Bolivia,Value of oil exports,U.S. dollars,Billions,0.023,0.003,0.005,0.034,0.009,--,0.005,0.008,0.004,--,0.002,0.009,0.004,0.006,0.007,0.048,0.039,0.028,0.03,0.026,0.036,0.047,0.062,0.096,0.171,0.314,0.345,0.268,0.324,0.119,0.144,0.228,0.313,0.248,0.252,0.261,0.245,0.24,0.237,2012
BOL,Bolivia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,8.5,8.69,8.71,9.29,8.15,7.99,7.67,6.9,7,6,5.5,5.437,5.375,5.314,5.253,5.194,5.134,5.045,2012
BOL,Bolivia,Employment,Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Population,Persons,Millions,4.996,5.409,5.521,5.637,5.754,5.875,5.997,6.122,6.25,6.381,6.514,6.65,6.789,6.983,7.182,7.387,7.599,7.816,8.039,8.233,8.428,8.624,8.824,9.025,9.227,9.427,9.627,9.828,10.028,10.227,10.426,10.629,10.831,11.037,11.246,11.46,11.678,11.9,12.245,1981
BOL,Bolivia,General government revenue,National currency,Billions,,--,--,--,0.001,0.284,1.486,1.485,1.888,2.4,2.838,3.823,4.591,5.156,6.568,7.725,9.064,10.41,11.646,12.293,13.287,13.52,13.89,14.928,18.661,23.829,31.473,35.428,46.953,43.619,45.727,60.155,70.75,76.521,80.298,84.407,90.544,97.651,106.107,2012
BOL,Bolivia,General government revenue,Percent of GDP,,,37.056,9.088,12.273,3.628,11.982,19.531,16.719,17.475,18.909,18.376,19.981,20.853,21.081,23.767,23.964,24.148,24.999,24.873,25.528,25.586,25.135,24.505,24.114,26.801,30.938,34.304,34.393,38.902,35.834,33.165,36.209,37.6,37.795,36.665,35.448,34.992,34.698,34.515,2012
BOL,Bolivia,General government total expenditure,National currency,Billions,,--,--,--,0.006,0.515,1.691,2.169,2.591,3.098,3.517,4.626,5.559,6.648,7.397,8.31,9.777,11.777,14.034,14.141,15.223,17.189,18.871,19.803,22.52,25.558,27.372,33.635,42.645,43.328,43.43,58.773,67.447,73.539,77.236,81.24,87.395,94.651,103.01,2012
BOL,Bolivia,General government total expenditure,Percent of GDP,,,46.703,24.987,32.072,29.028,21.782,22.231,24.419,23.975,24.409,22.776,24.181,25.253,27.181,26.767,25.781,26.048,28.28,29.973,29.364,29.314,31.955,33.293,31.99,32.345,33.183,29.834,32.653,35.333,35.595,31.5,35.377,35.845,36.323,35.267,34.117,33.775,33.632,33.508,2012
BOL,Bolivia,General government net lending/borrowing,National currency,Billions,,--,--,--,-0.005,-0.232,-0.205,-0.684,-0.702,-0.698,-0.679,-0.804,-0.969,-1.492,-0.829,-0.586,-0.713,-1.366,-2.388,-1.848,-1.936,-3.668,-4.981,-4.875,-3.86,-1.729,4.101,1.793,4.308,0.291,2.296,1.382,3.303,2.982,3.061,3.167,3.149,3,3.097,2012
BOL,Bolivia,General government net lending/borrowing,Percent of GDP,,,-9.648,-15.899,-19.799,-25.4,-9.8,-2.7,-7.7,-6.5,-5.5,-4.4,-4.2,-4.4,-6.1,-3,-1.817,-1.9,-3.281,-5.1,-3.837,-3.728,-6.82,-8.788,-7.875,-5.543,-2.245,4.47,1.741,3.569,0.239,1.666,0.832,1.755,1.473,1.398,1.33,1.217,1.066,1.007,2012
BOL,Bolivia,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,General government primary net lending/borrowing,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,General government primary net lending/borrowing,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,General government net debt,National currency,Billions,,,,,,,,,,,,,,,,,,,,,30.602,27.825,35.209,41.132,56.401,54.755,38.43,28.078,24.872,28.172,25.345,23.986,20.683,17.701,14.64,11.473,8.323,5.324,2.226,2012
BOL,Bolivia,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,58.93,51.729,62.116,66.444,81.006,71.088,41.886,27.258,20.607,23.144,18.382,14.438,10.992,8.743,6.685,4.818,3.217,1.892,0.724,2012
BOL,Bolivia,General government gross debt,National currency,Billions,,,,,,,,,,,,,,,,,,,,,34.736,32.251,39.192,45.85,62.362,61.908,50.673,41.725,44.843,48.681,53.11,57.626,62.263,69.258,72.983,76.684,80.509,84.07,87.571,2012
BOL,Bolivia,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,66.891,59.957,69.144,74.066,89.567,80.375,55.23,40.506,37.155,39.992,38.52,34.687,33.09,34.208,33.325,32.204,31.114,29.872,28.485,2012
BOL,Bolivia,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,,--,--,0.001,0.019,2.366,7.608,8.884,10.806,12.694,15.443,19.132,22.014,24.459,27.636,32.235,37.537,41.644,46.822,48.156,51.928,53.79,56.682,61.904,69.626,77.024,91.748,103.009,120.694,121.727,137.876,166.131,188.162,202.46,219.003,238.118,258.757,281.435,307.424,2012
BOL,Bolivia,Current account balance,U.S. dollars,Billions,-0.007,-0.279,-0.13,-0.101,-0.075,-0.296,-0.302,-0.401,-0.133,0.033,-0.196,-0.255,-0.406,-0.419,-0.238,-0.335,-0.333,-0.553,-0.607,-0.4,-0.446,-0.274,-0.35,0.084,0.325,0.561,1.293,1.506,1.991,0.746,0.969,0.537,2.044,1.417,1.117,1.03,0.979,1.003,0.884,2012
BOL,Bolivia,Current account balance,Percent of GDP,,-0.2,-8.102,-3.4,-2.8,-2,-7.3,-7.6,-9.27,-2.9,0.7,-4.021,-4.781,-7.197,-7.308,-3.989,-5.005,-4.511,-6.986,-7.151,-4.843,-5.324,-3.36,-4.42,1.042,3.694,5.863,11.225,11.396,11.859,4.27,4.895,2.227,7.452,4.801,3.498,2.968,2.596,2.444,1.973,2011
BIH,Bosnia and Herzegovina,"Gross domestic product, constant prices",National currency,Billions,,,,,,,,,,,,,,,,,,,12.077,13.375,13.969,14.299,15.021,15.601,16.577,17.218,18.244,19.359,20.44,19.845,19.988,20.241,20.099,20.2,20.604,21.325,22.178,23.065,23.987,2010
BIH,Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,,,,,,,,,,,,,,,,,,,,10.75,4.442,2.362,5.053,3.858,6.257,3.868,5.954,6.115,5.582,-2.911,0.722,1.264,-0.7,0.5,2,3.5,4,4,4,2010
BIH,Bosnia and Herzegovina,"Gross domestic product, current prices",National currency,Billions,,,,,,,,,,,,,,,,,,,9.219,10.571,11.79,12.641,13.946,14.69,15.998,17.218,19.5,21.981,24.898,24.202,24.773,25.666,26.362,27.841,29.263,31.082,33.308,35.583,38,2010
BIH,Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.948,12.507,15.382,18.647,17.19,16.775,18.243,17.326,18.867,19.707,20.785,22.107,23.447,24.859,2010
BIH,Bosnia and Herzegovina,"Gross domestic product, deflator",Index,,,,,,,,,,,,,,,,,,,,76.334,79.037,84.402,88.407,92.843,94.158,96.507,100,106.885,113.544,121.809,121.956,123.937,126.806,131.16,137.831,142.03,145.756,150.188,154.274,158.417,2010
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",National currency,Units,,,,,,,,,,,,,,,,,,,3305.04,3590.55,3694.49,3764.84,3924.09,4043.56,4262.9,4393.09,4654.41,4943.06,5226.32,5082.97,5129.11,5203.13,5175.12,5209.22,5322.59,5519.97,5753.96,5999.14,6250.97,2010
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, current prices",National currency,Units,,,,,,,,,,,,,,,,,,,2522.86,2837.87,3118.22,3328.38,3643.26,3807.33,4114,4393.09,4974.87,5612.54,6366.15,6198.97,6356.89,6597.87,6787.69,7179.91,7559.68,8045.7,8641.75,9255.1,9902.58,2010
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,,,,,,,,,,,,,,,,,,,1445.3,1547.96,1468.88,1522.83,1753.11,2197.05,2611.8,2793.31,3190.92,3927.59,4767.95,4403.02,4304.68,4689.53,4461.17,4865.57,5090.89,5380.37,5735.69,6098.54,6478.18,2010
BIH,Bosnia and Herzegovina,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,,,,,,,,,,,,,,,,,,,14.052,15.792,16.85,17.638,18.829,19.967,21.665,23.691,25.912,28.295,30.537,29.906,30.524,31.569,31.909,32.596,33.909,35.803,38.01,40.38,42.885,2010
BIH,Bosnia and Herzegovina,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,,,,,,,,,,,,,,,,,,,3845.75,4239.45,4456.59,4644.07,4918.88,5175.23,5571.33,6044.38,6610.84,7224.53,7807.95,7659.98,7832.8,8115.22,8215.95,8406.07,8759.74,9267.64,9861.65,10502.72,11175.56,2010
BIH,Bosnia and Herzegovina,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,,,,,,,,,,,,,,,,,,0.037,0.04,0.04,0.04,0.041,0.041,0.041,0.042,0.042,0.042,0.043,0.043,0.041,0.04,0.038,0.037,0.037,0.036,0.036,0.036,0.036,2010
BIH,Bosnia and Herzegovina,Implied PPP conversion rate,National currency per current international dollar,,,,,,,,,,,,,,,,,,,,0.656,0.669,0.7,0.717,0.741,0.736,0.738,0.727,0.753,0.777,0.815,0.809,0.812,0.813,0.826,0.854,0.863,0.868,0.876,0.881,0.886,2010
BIH,Bosnia and Herzegovina,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,33.729,27.297,27.461,25.963,28.082,28.421,26.618,26.329,20.516,26.182,27.967,20.343,17.085,15.788,16.181,16.078,16.434,16.806,16.991,17.435,17.912,2010
BIH,Bosnia and Herzegovina,Gross national savings,Percent of GDP,,,,,,,,,,,,,,,,,,,,27.089,18.579,20.315,13.058,10.453,9.228,10.476,9.265,12.651,17.51,14.259,14.359,12.159,6.928,6.515,7.332,8.507,9.56,10.605,11.694,12.886,2010
BIH,Bosnia and Herzegovina,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,,,,,97.238,100,104.973,109.774,110.118,110.721,111.033,115.01,122.056,123.88,133.088,132.58,135.396,140.371,143.248,145.826,148.451,151.272,154.297,157.692,161.161,2011
BIH,Bosnia and Herzegovina,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,2.841,4.973,4.574,0.313,0.547,0.282,3.582,6.126,1.495,7.433,-0.381,2.123,3.675,2.049,1.8,1.8,1.9,2,2.2,2.2,2011
BIH,Bosnia and Herzegovina,"Inflation, end of period consumer prices",Index,,,,,,,,,,,,,,,,,,,,97.238,100,107,107.642,107.211,107.747,108.394,113.055,118.196,124.039,128.764,128.732,132.691,136.316,139.11,141.614,144.163,146.902,149.84,153.136,156.505,2011
BIH,Bosnia and Herzegovina,"Inflation, end of period consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,2.841,7,0.6,-0.4,0.5,0.6,4.3,4.548,4.944,3.809,-0.025,3.076,2.732,2.049,1.8,1.8,1.9,2,2.2,2.2,2011
BIH,Bosnia and Herzegovina,Six-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Volume of imports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,10.257,-7.574,9.959,4.096,9.192,2.229,0.923,-4.282,-1.493,7.828,-7.029,-2.642,2.767,-4.758,6.331,7.36,6.375,6.712,5.806,4.799,2011
BIH,Bosnia and Herzegovina,Volume of Imports of goods,Percent change,,,,,,,,,,,,,,,,,,,,,10.512,-7.455,10.136,3.864,9.196,2.515,1.561,-4.479,-1.452,8.357,-9.266,-1.353,3.433,-4.735,6.366,7.428,6.218,6.549,5.676,4.645,2011
BIH,Bosnia and Herzegovina,Volume of exports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,21.587,14.217,6.225,-2.666,18.32,12.215,6.133,15.112,-15.303,7.258,0.159,10.122,3.332,-7.533,6.656,9.297,7.889,6.575,6.747,5.358,2011
BIH,Bosnia and Herzegovina,Volume of exports of goods,Percent change,,,,,,,,,,,,,,,,,,,,,32.181,27.224,3.261,-4.913,17.054,18.022,8.226,17.231,-46.651,18.543,6.568,18.178,11.776,-7.523,7.265,10.709,8.941,7.978,7.989,6.053,2011
BIH,Bosnia and Herzegovina,Value of oil imports,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,0.316,0.332,0.359,0.455,0.686,0.925,1.129,1.367,2.009,1.345,1.783,2.377,2.303,2.328,2.32,2.338,2.391,2.439,2.501,2011
BIH,Bosnia and Herzegovina,Value of oil exports,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,0.085,0.085,0.083,0.111,0.186,0.214,0.271,0.331,0.497,0.539,0.748,0.838,0.863,0.854,0.851,0.866,0.887,0.911,0.942,2011
BIH,Bosnia and Herzegovina,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,32.196,31.096,31.096,31.096,31.096,31.096,31.096,31.096,31.096,29.013,23.408,24.068,27.202,27.6,28,27,25.5,24.5,23.5,23,22.5,2010
BIH,Bosnia and Herzegovina,Employment,Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Population,Persons,Millions,,,,,,,,,,,,,,,,,,,3.654,3.725,3.781,3.798,3.828,3.858,3.889,3.919,3.92,3.916,3.911,3.904,3.897,3.89,3.884,3.878,3.871,3.863,3.854,3.845,3.837,2011
BIH,Bosnia and Herzegovina,General government revenue,National currency,Billions,,,,,,,,,,,,,,,,,,,4.927,5.785,6.092,5.928,6.215,6.897,7.267,7.992,9.289,10.231,11.371,10.925,11.612,11.949,12.044,12.396,13.1,13.959,14.993,16.074,17.216,2010
BIH,Bosnia and Herzegovina,General government revenue,Percent of GDP,,,,,,,,,,,,,,,,,,,,53.45,54.721,51.669,46.897,44.561,46.952,45.425,46.414,47.636,46.543,45.672,45.142,46.874,46.555,45.686,44.526,44.767,44.91,45.013,45.174,45.305,2010
BIH,Bosnia and Herzegovina,General government total expenditure,National currency,Billions,,,,,,,,,,,,,,,,,,,5.221,6.369,7.027,6.477,6.632,6.961,7.295,7.861,8.871,10.193,12.281,12.343,12.573,12.623,12.773,12.829,13.448,14.162,14.96,15.907,16.706,2010
BIH,Bosnia and Herzegovina,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,,,,56.631,60.247,59.599,51.237,47.557,47.385,45.596,45.654,45.493,46.369,49.326,51.001,50.754,49.18,48.451,46.081,45.957,45.565,44.913,44.703,43.963,2010
BIH,Bosnia and Herzegovina,General government net lending/borrowing,National currency,Billions,,,,,,,,,,,,,,,,,,,-0.293,-0.584,-0.935,-0.549,-0.418,-0.064,-0.027,0.131,0.418,0.038,-0.91,-1.418,-0.961,-0.674,-0.729,-0.433,-0.348,-0.204,0.033,0.168,0.51,2010
BIH,Bosnia and Herzegovina,General government net lending/borrowing,Percent of GDP,,,,,,,,,,,,,,,,,,,,-3.181,-5.527,-7.93,-4.339,-2.995,-0.433,-0.171,0.76,2.143,0.174,-3.654,-5.86,-3.88,-2.625,-2.765,-1.555,-1.19,-0.655,0.1,0.471,1.341,2010
BIH,Bosnia and Herzegovina,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,,,,,,,-0.865,-0.799,-0.191,0.074,-0.031,0.135,0.224,-0.434,-1.767,-1.505,-1.043,-0.651,-0.221,-0.057,0.25,0.209,0.169,0.236,0.499,2010
BIH,Bosnia and Herzegovina,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,-7.303,-6.176,-1.344,0.496,-0.194,0.784,1.175,-2.07,-7.626,-6.324,-4.217,-2.52,-0.809,-0.196,0.817,0.652,0.503,0.66,1.313,2010
BIH,Bosnia and Herzegovina,General government primary net lending/borrowing,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,General government primary net lending/borrowing,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,General government net debt,National currency,Billions,,,,,,,,,,,,,,,,,,,4.677,5.641,3.801,3.899,3.691,3.257,3.157,3.288,2.558,0.96,5.399,6.634,8.002,8.824,10.161,10.207,10.002,9.994,9.927,9.764,10.387,2010
BIH,Bosnia and Herzegovina,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,50.737,53.361,32.238,30.842,26.469,22.171,19.734,19.093,13.119,4.37,21.686,27.409,32.301,34.378,38.545,36.662,34.179,32.154,29.803,27.44,27.335,2010
BIH,Bosnia and Herzegovina,General government gross debt,National currency,Billions,,,,,,,,,,,,,,,,,,,5.015,5.924,4.09,4.454,4.351,4.059,4.077,4.388,4.128,4.097,7.72,8.698,9.737,10.38,11.669,11.727,11.522,11.514,11.446,11.283,11.907,2010
BIH,Bosnia and Herzegovina,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,54.397,56.039,34.686,35.23,31.198,27.635,25.487,25.484,21.168,18.639,31.005,35.941,39.305,40.444,44.265,42.12,39.372,37.043,34.365,31.71,31.334,2010
BIH,Bosnia and Herzegovina,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,,,,,,,,,,,,,,,,,,,9.219,10.571,11.79,12.641,13.946,14.69,15.998,17.218,19.5,21.981,24.898,24.202,24.773,25.666,26.362,27.841,29.263,31.082,33.308,35.583,38,2010
BIH,Bosnia and Herzegovina,Current account balance,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,-0.348,-0.502,-0.397,-0.746,-1.183,-1.627,-1.639,-1.868,-0.984,-1.396,-2.641,-1.132,-0.932,-1.735,-1.675,-1.65,-1.562,-1.506,-1.412,-1.346,-1.25,2010
BIH,Bosnia and Herzegovina,Current account balance,Percent of GDP,,,,,,,,,,,,,,,,,,,,-6.588,-8.706,-7.146,-12.905,-17.629,-19.193,-16.142,-17.064,-7.865,-9.078,-14.164,-6.584,-5.554,-9.513,-9.666,-8.746,-7.926,-7.246,-6.386,-5.742,-5.027,2010
BWA,Botswana,"Gross domestic product, constant prices",National currency,Billions,3.584,3.876,4.491,4.976,5.3,5.708,6.2,7.123,8.791,9.201,10.01,10.634,10.612,11.039,10.953,11.829,12.354,13.556,14.962,16.434,17.401,18.01,19.622,20.86,22.101,22.463,23.614,24.749,25.484,24.274,25.977,27.298,28.342,29.515,30.752,32.084,33.483,35.059,36.513,2010
BWA,Botswana,"Gross domestic product, constant prices",Percent change,,12.02,8.154,15.874,10.793,6.517,7.695,8.616,14.89,23.42,4.665,8.787,6.237,-0.208,4.027,-0.786,8.004,4.438,9.729,10.366,9.841,5.887,3.495,8.955,6.309,5.95,1.635,5.123,4.806,2.971,-4.748,7.015,5.088,3.822,4.139,4.191,4.332,4.359,4.709,4.147,2010
BWA,Botswana,"Gross domestic product, current prices",National currency,Billions,0.879,0.918,1.173,1.399,1.823,2.419,2.815,3.784,5.887,6.54,7.565,8.377,9.119,11.041,11.416,13.141,16.227,18.869,22.81,27.129,28.737,35.244,38.546,40.029,47.155,52.449,65.692,75.989,91.981,82.548,101.256,120.542,139.149,155.251,171.493,189.127,208.668,230.056,253.637,2010
BWA,Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,1.175,1.038,1.095,1.21,1.201,1.118,1.516,2.376,3.084,3.444,4.079,4,4.099,4.338,4.255,4.742,4.915,5.172,5.43,5.867,5.648,6.063,6.111,8.116,10.061,10.363,11.298,12.382,13.575,11.593,14.913,17.675,17.624,18.262,19.163,20.179,21.299,22.481,23.729,2010
BWA,Botswana,"Gross domestic product, deflator",Index,,24.538,23.673,26.107,28.12,34.393,42.379,45.401,53.127,66.97,71.074,75.576,78.77,85.933,100.018,104.228,111.092,131.349,139.187,152.461,165.079,165.145,195.697,196.439,191.894,213.358,233.49,278.197,307.046,360.938,340.07,389.794,441.572,490.966,526.009,557.663,589.471,623.211,656.192,694.648,2010
BWA,Botswana,"Gross domestic product per capita, constant prices",National currency,Units,3948.99,4193.51,4686.11,5006.92,5143.19,5341.88,5596.1,6201.79,7384.41,7457.8,7821.17,8049.75,7830.17,7947.43,7616.55,8053.03,8258.2,8843,9517.5,10126.3,10601.5,10849.1,11687.6,12284.8,12874.5,12973.6,13530.1,13999.8,14246.6,13410.99,14183.42,14730.13,15113.74,15554.63,16016.44,16514.16,17031.77,17624.49,18139.92,2008
BWA,Botswana,"Gross domestic product per capita, current prices",National currency,Units,969.003,992.743,1223.4,1407.95,1768.92,2263.85,2540.67,3294.79,4945.31,5300.53,5910.91,6340.75,6728.68,7948.88,7938.59,8946.27,10847.1,12308.33,14510.44,16716.42,17507.8,21231.33,22959.03,23573.75,27468.83,30292.12,37640.37,42985.84,51421.38,45606.77,55286.11,65044.07,74203.42,81818.75,89317.68,97346.19,106143.82,115650.47,126008.57,2008
BWA,Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,1295.3,1122.7,1142.23,1217.14,1165.7,1046.58,1368.66,2068.54,2590.85,2791.26,3187.17,3027.71,3024.54,3123.12,2958.66,3227.98,3285.5,3374.12,3453.97,3615.12,3440.89,3652.51,3639.91,4779.56,5860.7,5985,6473.25,7004.35,7588.9,6404.97,8142.8,9537.4,9398.13,9624.29,9980.34,10386.44,10834.39,11301.57,11788.89,2008
BWA,Botswana,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.61,1.904,2.341,2.696,2.98,3.306,3.67,4.339,5.54,6.017,6.798,7.478,7.64,8.123,8.229,9.073,9.656,10.782,12.034,13.413,14.51,15.357,17.003,18.456,21.063,21.666,23.511,25.356,26.689,25.643,27.809,29.847,31.542,33.388,35.479,37.761,40.228,43.027,45.761,2010
BWA,Botswana,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,1773.78,2060.14,2442.57,2712.99,2891.51,3094.12,3313.02,3778.17,4653.17,4876.88,5311.87,5660.87,5637.02,5847.86,5722.47,6176.47,6454.46,7033.54,7655.53,8265.08,8840.23,9251.13,10127.49,10868.83,12269.87,12513.13,13471.56,14343.67,14920.27,14167.56,15183.79,16105.21,16820.29,17595.63,18478.14,19436.29,20462.88,21629.85,22734.32,2008
BWA,Botswana,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.014,0.015,0.017,0.019,0.019,0.02,0.021,0.023,0.027,0.027,0.029,0.03,0.027,0.028,0.027,0.028,0.028,0.03,0.032,0.034,0.034,0.035,0.037,0.038,0.04,0.038,0.038,0.038,0.038,0.036,0.037,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,2010
BWA,Botswana,Implied PPP conversion rate,National currency per current international dollar,,0.546,0.482,0.501,0.519,0.612,0.732,0.767,0.872,1.063,1.087,1.113,1.12,1.194,1.359,1.387,1.448,1.681,1.75,1.895,2.023,1.98,2.295,2.267,2.169,2.239,2.421,2.794,2.997,3.446,3.219,3.641,4.039,4.412,4.65,4.834,5.008,5.187,5.347,5.543,2010
